sitename,regionnumb,trendsite,rookery,month,day,year,pupcount,counttype,source,replicate,counter,comments
BULDIR,11,0,1,6,26,1997,120,5,1,,,checked to field book
YUNASKA,10,1,1,6,24,1997,192,5,1,,,"""7 dead pups, Sease & Loughlin, 1999"""
FORRESTER COMPLEX,5,1,1,6,29,1997,2798,5,2,,,"""Pitcher, 1998 contract report"""
BOGOSLOF/FIRE ISLAND,9,1,1,7,5,1997,281,5,1,,,checked to field book
KASATOCHI/NORTH POINT,10,1,1,7,1,1997,268,5,1,,,checked to field book
SEGUAM/SADDLERIDGE,10,1,1,7,4,1997,463,5,1,,,checked to field book
UGAMAK COMPLEX,9,1,1,7,7,1997,589,5,1,,,"""Sease & Loughlin, 1999, Ugamak only"""
HAZY,5,1,1,7,7,1997,1157,5,2,,,"""Pitcher, 1998 contract report"""
WHITE SISTERS,5,1,1,7,5,1997,205,5,2,,,"""Pitcher, 1998 contract report"""
ADAK,10,0,0,6,30,1998,340,5,1,,,"""checked to field book, prior name was c yakak/lake pt"""
AGATTU/CAPE SABAK,11,1,1,6,24,1998,314,5,1,,,checked to field book
AGATTU/GILLON POINT,11,1,1,6,24,1998,213,5,1,,,checked to field book
AMCHITKA/COLUMN ROCK,10,0,1,6,28,1998,70,5,1,,,checked to field book
ATKINS,8,1,1,6,29,1998,352,5,1,,,checked to field book
ATTU/CAPE WRANGELL,11,0,1,6,25,1998,154,5,1,,,checked to field book
BULDIR,11,0,1,6,26,1998,122,5,1,,,checked to field book
CHERNABURA,8,1,1,6,29,1998,54,5,1,,,checked to field book
CHIRIKOF,7,1,1,6,27,1998,184,5,1,,,checked to field book
CHOWIET,7,1,1,6,28,1998,234,5,1,,,checked to field book
CLUBBING ROCKS,8,1,1,6,30,1998,448,5,1,,,checked to field book
GRAMP ROCK,10,1,1,6,29,1998,456,5,1,,,checked to field book
KISKA/LIEF COVE,10,1,1,6,27,1998,179,5,1,,,checked to field book
PINNACLE ROCK,8,1,1,6,30,1998,639,5,1,,,checked to field book
TAG,10,1,1,6,29,1998,238,5,1,,,checked to field book
ULAK/HASGOX POINT,10,1,1,6,29,1998,521,5,1,,,checked to field book
SEAL ROCKS,6,1,1,6,29,1998,542,5,2,,,"""Pitcher, 1998 contract report"""
ADUGAK,9,1,1,7,4,1998,135,5,1,,,checked to field book
AKUN/BILLINGS HEAD,9,1,1,7,3,1998,56,5,1,,,checked to field book
AKUTAN/CAPE MORGAN,9,1,1,7,4,1998,505,5,1,,,checked to field book
BOGOSLOF/FIRE ISLAND,9,1,1,7,5,1998,220,5,1,,,checked to field book
KASATOCHI/NORTH POINT,10,1,1,7,1,1998,247,5,1,,,checked to field book
