"","year","sitename","meanPups"
"1158",2013,"Shakun Rocks",4
"1159",2013,"Sitkinak/Cape Sitkinak",1
"1160",2013,"South Marble",7
"1161",2013,"South Rocks",64
"1162",2013,"Sugarloaf",862
"1163",2013,"Sunset",2
"1164",2013,"Sushilnoi Rocks",12
"1165",2013,"Sutwik",19
"1166",2013,"The Brothers/Sw",0
"1167",2013,"The Haystacks",0
"1168",2013,"The Needle",29
"1169",2013,"The Whaleback",61
"1170",2013,"Timbered",4
"1171",2013,"Twoheaded",48
"1172",2013,"Unga/Acheredin Point",0
"1173",2013,"Ushagat/Nw",0
"1174",2013,"Ushagat/Rocks South",0
"1175",2013,"Ushagat/Sw",100
"1176",2013,"West Rock",0
"1177",2013,"White Sisters",924
"1178",2013,"Wolf Rock",0
"1179",2013,"Wooded (Fish)",276
"1180",2013,"Wosnesenski",0
"1181",2013,"Yasha",8
"1182",2013,"Kodiak/Cape Barnabas",0
"1183",2013,"Kodiak/Cape Chiniak",0
"1184",2013,"Kodiak/Gull Point",0
"1185",2014,"Agattu/Cape Sabak",44
"1186",2014,"Agattu/Gillon Point",80
"1187",2014,"Alaid",16
"1188",2014,"Amchitka/East Cape",9
"1189",2014,"Attu/Cape Wrangell",34
"1190",2014,"Attu/Chichagof Point",0
"1191",2014,"Ayugadak",42
"1192",2014,"Kiska/Cape St Stephen",71
"1193",2014,"Kiska/Lief Cove",84
"1194",2014,"Semisopochnoi/Pochnoi",8
"1195",2014,"Ulak/Hasgox Point",175
"1196",2014,"Adak/Cape Kagigikak",4
"1197",2014,"Adak/Cape Yakak",0
"1198",2014,"Adak/Crone Island",0
"1199",2014,"Adak/Lake Point",250
"1200",2014,"Adugak",294
"1201",2014,"Agligadak",0
"1202",2014,"Aiktak",7
"1203",2014,"Akutan/Cape Morgan",748
"1204",2014,"Akutan/Reef-Lava",21
"1205",2014,"Amak+rocks",4
"1206",2014,"Amatignak/Nitrof Point",0
"1207",2014,"Amlia/Cape Misty",0
"1208",2014,"Amlia/East Cape",2
"1209",2014,"Amlia/Sviech. Harbor",34
"1210",2014,"Anagaksik",0
"1211",2014,"Atka/Cape Korovin",0
"1212",2014,"Atka/North Cape",0
"1213",2014,"Atkins",315
"1214",2014,"Avatanak/s",0
"1215",2014,"Avatanak/Se",0
"1216",2014,"Bird",4
"1217",2014,"Bird (Shumagins)",0
"1218",2014,"Bogoslof/Fire Island",337
"1219",2014,"Carlisle",0
"1220",2014,"Castle Rock",4
"1221",2014,"Caton",1
"1222",2014,"Chernabura",266
"1223",2014,"Chuginadak",1
"1224",2014,"Chugul",0
"1225",2014,"Clubbing Rocks North",232
"1226",2014,"Clubbing Rocks South",487
"1227",2014,"Egg",0
"1228",2014,"Egg/Se Tip",0
"1229",2014,"Fenimore",0
"1230",2014,"Gramp Rock",236
"1231",2014,"Herbert",0
"1232",2014,"Ilak",0
"1233",2014,"Inner Signal",0
"1234",2014,"Jude",304
"1235",2014,"Kagalaska",0
"1236",2014,"Kagamil",0
"1237",2014,"Kanaga/Ship Rock",207
"1238",2014,"Kasatochi/North Point",376
"1239",2014,"Kavalga",0
"1240",2014,"Kupreanof Point",0
"1241",2014,"Little Tanaga Strait",0
"1242",2014,"Mitrofania",4
"1243",2014,"Ogchul",130
"1244",2014,"Ogliuga",0
"1245",2014,"Oglodak",0
"1246",2014,"Old Man Rocks",0
"1247",2014,"Olga Rocks Ne",0
"1248",2014,"Olga Rocks Sw",5
"1249",2014,"Pinnacle Rock",714
"1250",2014,"Polivnoi Rock",0
"1251",2014,"Rootok/East",0
"1252",2014,"Rootok/North",0
"1253",2014,"Sagigik",0
"1254",2014,"Salt",0
"1255",2014,"Sea Lion Rock (Amak)",185
"1256",2014,"Sea Lion Rocks (Shumagins)",0
"1257",2014,"Seguam/Finch Point",2
"1258",2014,"Seguam/Lava Cove",0
"1259",2014,"Seguam/Moundhill Point",0
"1260",2014,"Seguam/Saddleridge",530
"1261",2014,"Seguam/Sw Rip",0
"1262",2014,"Seguam/Turf Point",0
"1263",2014,"Silak",0
"1264",2014,"Skagul/S. Point",0
"1265",2014,"Spitz",0
